frame.number	frame.time_relative	ip.src	udp.srcport	ip.dst	udp.dstport	dns.id	dns.flags.response	dns.qry.name
1	0.000000000	192.168.56.99	53	192.168.56.20	33333	0x0000	1	www.target.lab
2	0.000000716	192.168.56.99	53	192.168.56.20	33333	0x0001	1	www.target.lab
3	0.000000870	192.168.56.99	53	192.168.56.20	33333	0x0002	1	www.target.lab
4	0.000000994	192.168.56.99	53	192.168.56.20	33333	0x0003	1	www.target.lab
5	0.000405299	192.168.56.99	53	192.168.56.20	33333	0x0004	1	www.target.lab
6	0.000405495	192.168.56.99	53	192.168.56.20	33333	0x0005	1	www.target.lab
7	0.000405598	192.168.56.99	53	192.168.56.20	33333	0x0006	1	www.target.lab
8	0.000405726	192.168.56.99	53	192.168.56.20	33333	0x0007	1	www.target.lab
9	0.000405851	192.168.56.99	53	192.168.56.20	33333	0x0008	1	www.target.lab
10	0.000745961	192.168.56.99	53	192.168.56.20	33333	0x0009	1	www.target.lab
11	0.000746278	192.168.56.99	53	192.168.56.20	33333	0x000a	1	www.target.lab
12	0.000746447	192.168.56.99	53	192.168.56.20	33333	0x000b	1	www.target.lab
13	0.001121414	192.168.56.99	53	192.168.56.20	33333	0x000c	1	www.target.lab
14	0.001121712	192.168.56.99	53	192.168.56.20	33333	0x000d	1	www.target.lab
15	0.001121817	192.168.56.99	53	192.168.56.20	33333	0x000e	1	www.target.lab
16	0.001386483	192.168.56.99	53	192.168.56.20	33333	0x000f	1	www.target.lab
17	0.001386792	192.168.56.99	53	192.168.56.20	33333	0x0010	1	www.target.lab
18	0.001386918	192.168.56.99	53	192.168.56.20	33333	0x0011	1	www.target.lab
19	0.001387090	192.168.56.99	53	192.168.56.20	33333	0x0012	1	www.target.lab
20	0.001593741	192.168.56.99	53	192.168.56.20	33333	0x0013	1	www.target.lab
21	0.001593852	192.168.56.99	53	192.168.56.20	33333	0x0014	1	www.target.lab
22	0.001593953	192.168.56.99	53	192.168.56.20	33333	0x0015	1	www.target.lab
23	0.002014154	192.168.56.99	53	192.168.56.20	33333	0x0016	1	www.target.lab
24	0.002014587	192.168.56.99	53	192.168.56.20	33333	0x0017	1	www.target.lab
